Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 1874,164,2014,113,220,0,4,182,0,0,strong,little,Pro-Growth Budgeting Act of 2014
H R 1872,166,2014,113,214,0,16,165,0,0,strong,little,Budget and Accounting Transparency Act of 2014
H R 1871,168,2014,113,223,0,7,185,0,0,strong,little,Baseline Reform Act of 2014
H R 4192,178,2014,113,197,15,170,1,0,0,strong,strong,"To amend the Act entitled ""An Act to regulate the height of buildings in the District of Columbia"" to clarify the rules of the District of Columbia regarding human occupancy of penthouses above the top story of the building upon which the penthouse is placed."
H R 4120,179,2014,113,211,0,173,0,0,0,strong,strong,To amend the National Law Enforcement Museum Act to extend the termination date.
H R 4414,182,2014,113,208,17,60,133,0,0,strong,little,Expatriate Health Coverage Clarification Act of 2014
H R 627,183,2014,113,211,13,192,0,0,0,strong,strong,National Park Service 100th Anniversary Commemorative Coin Act
H R 4486,187,2014,113,225,1,191,0,0,0,strong,strong,"Military Construction and Veterans Affairs, and Related Agencies Appropriations Act, 2015"
H R 4487,193,2014,113,218,9,184,5,0,0,strong,strong,"Legislative Branch Appropriations Act, 2015"
H R 4292,194,2014,113,202,4,186,0,0,0,strong,strong,Foreign Cultural Exchange Jurisdictional Immunity Clarification Act
H R 3584,195,2014,113,207,0,188,0,0,0,strong,strong,Capital Access for Small Community Financial Institutions Act of 2014
H R 863,201,2014,113,191,33,192,0,0,0,strong,strong,Commission to Study the Potential Creation of a National Women's History Museum Act
H R 685,219,2014,113,210,0,171,0,0,0,strong,strong,American Fighter Aces Congressional Gold Medal Act
H R 4225,222,2014,113,220,1,172,18,0,0,strong,strong,Stop Advertising Victims of Exploitation Act of 2014
H R 4031,229,2014,113,228,0,162,33,0,0,strong,strong,Department of Veterans Affairs Management Accountability Act of 2014
H R 3361,230,2014,113,179,51,124,70,0,0,strong,moderate,USA FREEDOM Act
H R 4435,240,2014,113,216,13,109,85,0,0,strong,moderate,"Howard P. ""Buck"" McKeon National Defense Authorization Act for Fiscal Year 2015"
H R 503,242,2014,113,207,0,163,0,0,0,strong,strong,National Desert Storm and Desert Shield War Memorial Act
H R 4412,272,2014,113,218,2,183,0,0,0,strong,strong,National Aeronautics and Space Administration Authorization Act of 2014
H R 4810,287,2014,113,228,0,198,0,0,0,strong,strong,Veteran Access to Care Act of 2014
H R 4745,297,2014,113,215,12,14,180,0,0,strong,little,"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2015"
H R 4800,307,2014,113,5,222,189,5,0,0,little,strong,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2015"
H R 4457,309,2014,113,219,2,53,142,0,0,strong,little,America's Small Business Tax Relief Act of 2014
H R 4453,311,2014,113,221,2,42,153,0,0,strong,little,S Corporation Permanent Tax Relief Act of 2014
H R 1671,314,2014,113,218,0,180,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 6937 Village Parkway in Dublin, California, as the ""James 'Jim' Kohnen Post Office""."
H R 4870,338,2014,113,219,6,121,67,0,0,strong,moderate,"Department of Defense Appropriations Act, 2015"
S 1044,339,2014,113,205,0,165,12,0,0,strong,strong,World War II Memorial Prayer Act of 2013
H R 316,340,2014,113,202,3,177,0,0,0,strong,strong,Collinsville Renewable Energy Production Act
H R 4413,349,2014,113,219,1,46,143,0,0,strong,little,Customer Protection and End User Relief Act
H R 3301,354,2014,113,221,1,17,172,0,0,strong,little,North American Energy Infrastructure Act
H R 4263,369,2014,113,197,19,178,0,0,0,strong,strong,Social Media Working Group Act of 2014
H R 4289,370,2014,113,215,0,178,0,0,0,strong,strong,Department of Homeland Security Interoperable Communications Act
H R 803,378,2014,113,223,6,192,0,0,0,strong,strong,Workforce Innovation and Opportunity Act
H R 4923,402,2014,113,218,11,35,159,0,0,strong,little,"Energy and Water Development and Related Agencies Appropriations Act, 2015"
H R 4718,404,2014,113,224,2,34,158,0,0,strong,little,To amend the Internal Revenue Code of 1986 to modify and make permanent bonus depreciation.
H R 4195,405,2014,113,206,0,180,0,0,0,strong,strong,Federal Register Modernization Act
H R 5029,406,2014,113,165,41,181,0,0,0,strong,strong,International Science and Technology Cooperation Act of 2014
H R 5016,427,2014,113,222,4,6,191,0,0,strong,little,"Financial Services and General Government Appropriations Act, 2015"
H R 4719,432,2014,113,221,1,56,129,0,0,strong,little,America Gives More Act of 2014
H R 4450,433,2014,113,164,57,183,0,0,0,strong,strong,"Travel Promotion, Enhancement, and Modernization Act of 2014"
H R 4411,434,2014,113,221,0,183,0,0,0,strong,strong,Hezbollah International Financing Prevention Act of 2014
H R 1022,435,2014,113,78,142,182,1,0,0,moderate,strong,Securing Energy Critical Elements and American Jobs Act of 2013
H R 3136,441,2014,113,225,0,189,0,0,0,strong,strong,Advancing Competency-Based Education Demonstration Project Act of 2014
H R 4984,446,2014,113,214,11,191,0,0,0,strong,strong,Empowering Students Through Enhanced Financial Counseling Act
H R 5111,447,2014,113,220,0,189,0,0,0,strong,strong,To improve the response to victims of child sex trafficking.
H R 3393,449,2014,113,195,26,32,161,0,0,strong,little,Student and Family Tax Simplification Act
H R 4935,451,2014,113,212,5,25,168,0,0,strong,little,Child Tax Credit Improvement Act of 2014
H R 5081,454,2014,113,210,0,189,0,0,0,strong,strong,Strengthening Child Welfare Response to Trafficking Act of 2014
H R 3202,456,2014,113,215,0,185,0,0,0,strong,strong,Essential Transportation Worker Identification Credential Assessment Act
H R 3107,457,2014,113,210,8,185,0,0,0,strong,strong,Homeland Security Cybersecurity Boots-on-the-Ground Act
H R 4315,463,2014,113,219,8,14,182,0,0,strong,little,Endangered Species Transparency and Reasonableness Act
H R 4809,464,2014,113,193,30,193,2,0,0,strong,strong,"To reauthorize the Defense Production Act, to improve the Defense Production Act Committee, and for other purposes."
H R 935,470,2014,113,230,0,37,161,0,0,strong,little,Reducing Regulatory Burdens Act of 2014
H R 5021,473,2014,113,227,2,45,148,0,0,strong,little,Highway and Transportation Funding Act of 2014
H R 5230,478,2014,113,222,4,1,185,0,0,strong,little,"Making supplemental appropriations for the fiscal year ending September 30, 2014, and for other purposes."
H R 5272,479,2014,113,212,11,4,181,0,0,strong,little,"To prohibit certain actions with respect to deferred action for aliens not lawfully present in the United States, and for other purposes."
H R 5089,481,2014,113,222,0,179,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 2000 Mulford Road in Mulberry, Florida, as the ""Sergeant First Class Daniel M. Ferguson Post Office""."
H R 5019,482,2014,113,222,0,177,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 1335 Jefferson Road in Rochester, New York, as the ""Specialist Theodore Matthew Glende Post Office""."
H R 4283,483,2014,113,218,1,180,0,0,0,strong,strong,"To amend the Wild and Scenic Rivers Act to authorize the Secretary of the Interior to maintain or replace certain facilities and structures for commercial recreation services at Smith Gulch in Idaho, and for other purposes."
H R 5078,489,2014,113,227,1,35,151,0,0,strong,little,Waters of the United States Regulatory Overreach Protection Act of 2014
H R 2678,492,2014,113,227,2,195,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 10360 Southwest 186th Street in Miami, Florida, as the ""Larcenia J. Bullard Post Office Building""."
H R 4751,493,2014,113,228,0,194,0,0,0,strong,strong,"To make technical corrections to Public Law 110-229 to reflect the renaming of the Bainbridge Island Japanese American Exclusion Memorial, and for other purposes."
H R 3522,495,2014,113,222,0,25,167,0,0,strong,little,Employee Health Care Protection Act of 2013
H R 5161,496,2014,113,215,0,187,0,0,0,strong,strong,"Enhance Labeling, Accessing, and Branding of Electronic Licenses Act of 2014"
H R 5108,497,2014,113,173,22,154,0,0,0,strong,strong,"To establish the Law School Clinic Certification Program of the United States Patent and Trademark Office, and for other purposes."
S 2154,500,2014,113,219,4,191,0,0,0,strong,strong,Emergency Medical Services for Children Reauthorization Act of 2014
H R 5405,501,2014,113,225,1,95,101,0,0,strong,moderate,Promoting Job Creation and Reducing Small Business Burdens Act
S 1603,503,2014,113,166,61,193,3,0,0,strong,strong,Gun Lake Trust Land Reaffirmation Act
H R 24,504,2014,113,227,1,106,91,0,0,strong,moderate,Federal Reserve Transparency Act of 2014
H R 5462,505,2014,113,226,0,197,0,0,0,strong,strong,"To amend title 49, United States Code, to provide for limitations on the fees charged to passengers of air carriers."
S 476,506,2014,113,224,0,195,0,0,0,strong,strong,A bill to amend the Chesapeake and Ohio Canal Development Act to extend to the Chesapeake and Ohio Canal National Historical Park Commission.
H R 2,515,2014,113,217,7,9,184,0,0,strong,little,American Energy Solutions for Lower Costs and More American Jobs Act
H R 4194,516,2014,113,209,0,173,0,0,0,strong,strong,Government Reports Elimination Act of 2014
H R 5682,519,2014,113,221,0,31,161,0,0,strong,little,To approve the Keystone XL Pipeline.
H R 5162,520,2014,113,207,1,171,0,0,0,strong,strong,"To amend the Act entitled ""An Act to allow a certain parcel of land in Rockingham County, Virginia, to be used for a child care center"" to remove the use restriction, and for other purposes."
H R 1422,525,2014,113,225,1,4,190,0,0,strong,little,EPA Science Advisory Board Reform Act of 2014
H R 4012,528,2014,113,229,1,8,189,0,0,strong,little,Secret Science Reform Act of 2014
H R 4795,531,2014,113,222,0,16,172,0,0,strong,little,Promoting New Manufacturing Act
H R 5629,532,2014,113,201,11,173,0,0,0,strong,strong,Strengthening Domestic Nuclear Security Act of 2014
H R 5050,535,2014,113,226,0,192,0,0,0,strong,strong,"May 31, 1918 Act Repeal Act"
H R 3572,536,2014,113,219,7,191,0,0,0,strong,strong,To revise the boundaries of certain John H. Chafee Coastal Barrier Resources System units.
H R 5739,537,2014,113,228,0,192,0,0,0,strong,strong,No Social Security for Nazis Act
H R 3240,538,2014,113,229,0,193,0,0,0,strong,strong,Regulation D Study Act
H R 2366,539,2014,113,226,3,192,0,0,0,strong,strong,World War I American Veterans Centennial Commemorative Coin Act
H R 5769,541,2014,113,222,0,191,3,0,0,strong,strong,Howard Coble Coast Guard and Maritime Transportation Act of 2014
H R 5771,544,2014,113,202,26,176,20,0,0,strong,strong,Tax Increase Prevention Act of 2014
H R 647,545,2014,113,221,5,183,12,0,0,strong,strong,ABLE Act of 2014
H R 5759,550,2014,113,216,7,3,190,0,0,strong,little,Preventing Executive Overreach on Immigration Act of 2014
H R 5781,553,2014,113,224,0,6,182,0,0,strong,little,California Emergency Drought Relief Act of 2014
S 1000,555,2014,113,226,0,190,0,0,0,strong,strong,Chesapeake Bay Accountability and Recovery Act of 2014
S 2244,557,2014,113,221,7,196,0,0,0,strong,strong,Terrorism Risk Insurance Program Reauthorization Act of 2014
H R 4681,558,2014,113,184,45,141,55,0,0,strong,strong,Intelligence Authorization Act for Fiscal Year 2015
H R 5806,562,2014,113,228,0,47,149,0,0,strong,little,Supporting America's Charities Act
H R 83,563,2014,113,162,67,57,139,0,0,strong,little,"Consolidated and Further Continuing Appropriations Act, 2015"
H R 5699,564,2014,113,175,38,186,1,0,0,strong,strong,John Muir National Historic Site Expansion Act
H R 30,14,2015,114,240,0,12,172,0,0,strong,little,Save American Workers Act of 2015
H R 37,37,2015,114,242,1,29,153,0,0,strong,little,Promoting Job Creation and Reducing Small Business Burdens Act
H R 161,41,2015,114,239,0,14,169,0,0,strong,little,Natural Gas Pipeline Permitting Reform Act
H R 246,48,2015,114,237,0,174,0,0,0,strong,strong,To improve the response to victims of child sex trafficking.
H R 351,50,2015,114,236,1,41,132,0,0,strong,little,LNG Permitting Certainty and Transparency Act
H R 361,51,2015,114,221,2,156,0,0,0,strong,strong,Medical Preparedness Allowable Use Act
H R 623,53,2015,114,173,50,155,1,0,0,strong,strong,DHS Social Media Improvement Act of 2015
S 1,75,2015,114,241,1,29,151,0,0,strong,little,Keystone XL Pipeline Approval Act
H R 431,76,2015,114,239,0,181,0,0,0,strong,strong,"To award a Congressional Gold Medal to the Foot Soldiers who participated in Bloody Sunday, Turnaround Tuesday, or the final Selma to Montgomery Voting Rights March in March of 1965, which served as a catalyst for the Voting Rights Act of 1965."
H R 636,82,2015,114,239,1,33,141,0,0,strong,little,"FAA Extension, Safety, and Security Act of 2016"
H R 212,84,2015,114,199,37,176,0,0,0,strong,strong,"To amend the Safe Drinking Water Act to provide for the assessment and management of the risk of algal toxins in drinking water, and for other purposes."
H R 1020,88,2015,114,232,8,180,0,0,0,strong,strong,STEM Education Act of 2015
H R 294,107,2015,114,232,0,173,0,0,0,strong,strong,Long-Term Care Veterans Choice Act
H R 240,109,2015,114,75,167,182,0,0,0,little,strong,"Department of Homeland Security Appropriations Act, 2015"
H R 749,112,2015,114,132,101,184,0,0,0,moderate,strong,Passenger Rail Reform and Investment Act of 2015
H R 1030,125,2015,114,237,1,4,174,0,0,strong,little,Secret Science Reform Act of 2015
H R 360,130,2015,114,128,95,169,3,0,0,moderate,strong,Native American Housing Assistance and Self-Determination Reauthorization Act of 2015
H R 216,134,2015,114,239,0,181,0,0,0,strong,strong,Department of Veterans Affairs Budget Planning Reform Act of 2015
H R 1265,146,2015,114,230,0,171,2,0,0,strong,strong,Bureau Advisory Commission Transparency Act
H R 1480,147,2015,114,230,0,171,0,0,0,strong,strong,SAFE Act Confidentiality and Privilege Enhancement Act
H R 650,151,2015,114,241,1,22,161,0,0,strong,little,Preserving Access to Manufactured Housing Act of 2015
H R 1562,156,2015,114,241,0,183,0,0,0,strong,strong,Contracting and Tax Accountability Act of 2015
H R 1563,157,2015,114,239,3,27,157,0,0,strong,little,Federal Employee Tax Accountability Act of 2015
H R 622,159,2015,114,238,1,34,151,0,0,strong,little,State and Local Sales Tax Deduction Fairness Act of 2015
H R 1195,167,2015,114,231,5,4,178,0,0,strong,little,Bureau of Consumer Financial Protection Advisory Boards Act
H R 1560,170,2015,114,202,37,105,79,0,0,strong,moderate,Protecting Cyber Networks Act
H R 1731,173,2015,114,220,19,135,44,0,0,strong,strong,National Cybersecurity Protection Advancement Act of 2015
H R 373,174,2015,114,239,0,174,0,0,0,strong,strong,Good Samaritan Search and Recovery Act
H R 1324,175,2015,114,209,30,172,0,0,0,strong,strong,Arapaho National Forest Boundary Adjustment Act of 2015
H R 651,177,2015,114,240,0,183,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 820 Elmwood Avenue in Providence, Rhode Island, as the ""Sister Ann Keefe Post Office""."
